time,plot,trt,subplot,agunder,canopycov,perweed,domweed,percarb
6mo1yr,1,2,1.1,7,66.8,8,1,5.945
6mo1yr,1,2,1.2,12,64.06,24,1,7.93
6mo1yr,1,2,1.3,11,75.85,69,1,6.74
6mo1yr,1,2,1.4,10,67.09,21,1,7.14
6mo1yr,1,2,1.5,6,65.855,37,1,5.435
6mo1yr,1,2,1.6,5,73.74,44,1,5.66
6mo1yr,2,1,2.1,3,71.525,29,1,4.215
6mo1yr,2,1,2.2,2,66.56,63,4,3.905
6mo1yr,2,1,2.3,9,69.075,65,1,5.16
6mo1yr,2,1,2.4,25,72.02,65,3,5.72
6mo1yr,2,1,2.5,21,68.165,24,1,4.85
6mo1yr,2,1,2.6,27,68.08,74,1,5.235
6mo1yr,3,1,3.1,22,64.725,16,1,2.88
6mo1yr,3,1,3.2,20,69.075,50,1,7.935
6mo1yr,3,1,3.3,9,74.89,22,1,5.6
6mo1yr,3,1,3.4,9,73.88,16,1,3.985
6mo1yr,3,1,3.5,0,72.49,47,1,4.855
6mo1yr,3,1,3.6,8,78.33,42,1,5.025
6mo1yr,4,2,4.1,14,74.345,63,4,7.265
6mo1yr,4,2,4.2,16,74.34,6,1,3.2
6mo1yr,4,2,4.3,25,65.725,9,1,4.085
6mo1yr,4,2,4.4,65,69.015,13,1,5.95
6mo1yr,4,2,4.5,25,59.765,19,1,5.145
6mo1yr,4,2,4.6,2,69.015,82,3,7.265
6mo1yr,5,2,5.1,2,44.415,60,4,3.26
6mo1yr,5,2,5.2,1,46.03,10,1,4.54
6mo1yr,5,2,5.3,35,51.235,8,1,5.335
6mo1yr,5,2,5.4,5,44.925,57,2,3.85
6mo1yr,5,2,5.5,8,50.3,22,1,6.06
6mo1yr,5,2,5.6,14,50.92,13,1,2.93
6mo1yr,6,1,6.1,0,59.365,96,3,6.52
6mo1yr,6,1,6.2,1,65.92,99,3,4.905
6mo1yr,6,1,6.3,4,64.135,83,3,7.625
6mo1yr,6,1,6.4,10,63.625,79,3,7.145
6mo1yr,6,1,6.5,1,73.21,77,3,6.615
6mo1yr,6,1,6.6,1,72.055,97,3,7.005
6mo1yr,7,1,7.1,30,59.635,3,1,7.605
