year,plot,trt,subplot,rich_weedund18,rich_weedund20
2018,1,s,1.1,5,3
2018,1,s,1.2,6,3
2018,1,s,1.3,6,4
2018,1,s,1.4,6,6
2018,1,s,1.5,6,4
2018,1,s,1.6,6,4
2018,2,e,2.1,6,5
2018,2,e,2.2,7,5
2018,2,e,2.3,7,3
2018,2,e,2.4,6,3
2018,2,e,2.5,8,5
2018,2,e,2.6,7,6
2018,3,e,3.1,2,4
2018,3,e,3.2,1,3
2018,3,e,3.3,2,3
2018,3,e,3.4,2,5
2018,3,e,3.5,6,6
2018,3,e,3.6,3,7
2018,4,s,4.1,5,5
2018,4,s,4.2,3,5
2018,4,s,4.3,3,7
2018,4,s,4.4,3,4
2018,4,s,4.5,2,8
2018,4,s,4.6,4,3
2018,5,s,5.1,5,3
2018,5,s,5.2,3,3
2018,5,s,5.3,2,6
2018,5,s,5.4,5,4
2018,5,s,5.5,5,3
2018,5,s,5.6,6,3
2018,6,e,6.1,4,4
2018,6,e,6.2,4,8
2018,6,e,6.3,5,5
2018,6,e,6.4,4,4
2018,6,e,6.5,4,3
2018,6,e,6.6,,5
2018,7,e,7.1,6,6
2018,7,e,7.2,4,6
2018,7,e,7.3,4,4
2018,7,e,7.4,5,5
2018,7,e,7.5,4,7
2018,7,e,7.6,5,5
2018,8,s,8.1,2,3
2018,8,s,8.2,4,4
2018,8,s,8.3,3,2
2018,8,s,8.4,3,2
2018,8,s,8.5,6,1
2018,8,s,8.6,3,3
2018,9,e,9.1,,9
2018,9,e,9.2,,4
2018,9,e,9.3,,4
2018,9,e,9.4,,2
2018,9,e,9.5,,5
2018,9,e,9.6,,1
2018,10,s,10.1,0,6
2018,10,s,10.2,0,4
2018,10,s,10.3,0,3
2018,10,s,10.4,2,3
2018,10,s,10.5,3,7
2018,10,s,10.6,4,3
