plot,tag,trt,species,surv1.5yr
1,1_5,s,pualoalo,1
1,1_6,s,awa,0
1,1_7,s,aweoweo,1
1,1_9,s,pualoalo,1
1,1_11,s,awa,0
1,1_12,s,pualoalo,1
1,1_14,s,koa,1
1,1_18,s,pualoalo,1
1,1_20,s,pualoalo,1
1,1_24,s,pualoalo,1
1,1_25,s,koa,1
1,1_27,s,koa,1
1,1_28,s,aweoweo,1
1,1_30,s,aweoweo,1
1,1_31,s,pualoalo,1
1,1_34,s,aweoweo,1
1,1_35,s,awa,0
1,1_37,s,pualoalo,1
1,1_39,s,aweoweo,1
1,1_42,s,awa,0
1,1_43,s,pualoalo,1
1,1_44,s,aweoweo,1
1,1_46,s,pualoalo,1
1,1_48,s,pualoalo,1
1,1_49,s,aweoweo,1
1,1_50,s,awa,0
1,1_51,s,pualoalo,1
1,1_53,s,aweoweo,1
1,1_54,s,koa,1
1,1_57,s,pualoalo,1
1,1_58,s,aweoweo,1
1,1_59,s,awa,0
1,1_60,s,pualoalo,1
1,1_62,s,pualoalo,1
1,1_65,s,pualoalo,1
2,2_3,e,pohinahina,1
2,2_11,e,pohinahina,1
2,2_14,e,pohinahina,1
2,2_15,e,awa,0
2,2_20,e,awa,0
2,2_23,e,ohia_poly,0
2,2_25,e,pohinahina,1
2,2_27,e,pohinahina,1
2,2_29,e,awa,0
2,2_31,e,pohinahina,1
2,2_39,e,pohinahina,1
2,2_44,e,pohinahina,1
2,2_47,e,pohinahina,1
2,2_49,e,pohinahina,1
2,2_50,e,pohinahina,1
2,2_52,e,awa,0
2,2_54,e,pohinahina,1
2,2_59,e,pohinahina,1
2,2_60,e,aalii,1
2,2_61,e,pohinahina,1
2,2_65,e,pohinahina,1
2,2_66,e,pohinahina,1
2,2_67,e,pohinahina,1
2,2_68,e,pohinahina,1
2,2_70,e,pohinahina,1
2,2_74,e,pohinahina,1
2,2_76,e,pohinahina,1
2,2_100,e,iholena,1
2,2_101,e,iholena,1
2,2_102,e,iholena,1
2,2_103,e,iholena,1
2,2_104,e,iholena,1
2,2_105,e,iholena,1
2,2_107,e,iholena,1
2,2_108,e,iholena,1
2,2_109,e,iholena,1
3,3_6,e,awa,0
3,3_9,e,aalii,1
3,3_13,e,maile,0
3,3_14,e,pohinahina,1
3,3_17,e,ohia_poly,0
3,3_18,e,pohinahina,1
3,3_21,e,pohinahina,1
3,3_25,e,awa,0
3,3_27,e,pohinahina,1
3,3_28,e,awa,0
3,3_29,e,maile,1
3,3_30,e,pohinahina,1
3,3_31,e,pohinahina,1
3,3_33,e,awa,0
3,3_41,e,pohinahina,1
3,3_44,e,pohinahina,1
3,3_47,e,pohinahina,1
3,3_49,e,pohinahina,1
